"","name","team","position","points"
"1","Aaron Judge","NYY","OF",17.3041232932325
"2","Yordan Alvarez","HOU","OF",15.8398501363754
"3","Vladimir Guerrero Jr.","TOR","1B",14.2761654957291
"4","Mike Trout","LAA","OF",14.1858108627307
"5","Juan Soto","SDP","OF",14.1701337521494
"6","Freddie Freeman","LAD","1B",13.4754764880838
"7","Pete Alonso","NYM","1B",12.7481834742036
"8","Paul Goldschmidt","STL","1B",11.878438360843
"9","Austin Riley","ATL","3B",11.25277601873
"10","Rafael Devers","BOS","3B",11.0938793557791
"11","Kyle Tucker","HOU","OF",11.0714009609153
"12","José Ramírez","CLE","3B",11.0365429531069
"13","Mookie Betts","LAD","OF",10.9117548744951
"14","Manny Machado","SDP","3B",10.6817154038031
"15","Shohei Ohtani","LAA","DH",18.1567055623273
"16","Fernando Tatis Jr.","SDP","SS",10.0923604362654
"17","Ronald Acuña Jr.","ATL","OF",9.71806187684958
"18","Matt Olson","ATL","1B",9.59651648651615
"19","Julio Rodríguez","SEA","OF",9.5419783313246
"20","Corey Seager","TEX","SS",9.2985386458199
"21","Bo Bichette","TOR","SS",9.22430086816651
"22","Trea Turner","PHI","SS",9.03802795796286
"23","Kyle Schwarber","PHI","OF",8.43392557752897
"24","Nolan Arenado","STL","3B",8.33322668055238
"25","Jose Altuve","HOU","2B",8.16083452162259
"26","Eloy Jiménez","CHW","OF",7.41361864264409
"27","Bryan Reynolds","PIT","OF",7.36449888582663
"28","Vinnie Pasquantino","KCR","1B",7.01260544099212
"29","Alex Bregman","HOU","3B",6.94846743514198
"30","José Abreu","HOU","1B",6.86605781971327
"31","George Springer","TOR","OF",6.67069235477171
"32","Teoscar Hernández","SEA","OF",6.42682229607498
"33","Carlos Correa","MIN","SS",6.28502801636883
"34","Michael Harris II","ATL","OF",6.21467271503989
"35","Nathaniel Lowe","TEX","1B",6.12710315621001
"36","Rhys Hoskins","PHI","1B",5.90788932807697
"37","Xander Bogaerts","SDP","SS",5.8007408754621
"38","Taylor Ward","LAA","OF",5.69714211248527
"39","C.J. Cron","COL","1B",5.66537529115526
"40","Will Smith","LAD","C",5.57251724354965
"41","Luis Robert Jr.","CHW","OF",5.56916707008356
"42","Marcus Semien","TEX","2B",5.41318638182549
"43","Bobby Witt Jr.","KCR","SS",5.34122711190595
"44","Byron Buxton","MIN","OF",5.32316188366817
"45","Willy Adames","MIL","SS",5.32315433742128
"46","Francisco Lindor","NYM","SS",5.30396435959905
"47","Christian Walker","ARI","1B",5.23717807892247
"48","Josh Bell","CLE","1B",5.02518440102144
"49","Rowdy Tellez","MIL","1B",4.95852797021362
"50","Wander Franco","TBR","SS",4.91886629788825
"51","Ozzie Albies","ATL","2B",4.79252170147236
"52","Max Muncy","LAD","2B",4.76591263604674
"53","Anthony Santander","BAL","OF",4.74640708533305
"54","Salvador Perez","KCR","C",4.73281964979506
"55","Kris Bryant","COL","OF",4.49763369161472
"56","Giancarlo Stanton","NYY","OF",4.40803705459616
"57","Ty France","SEA","1B",4.38867754249046
"58","Dansby Swanson","CHC","SS",4.36908825268078
"59","Nick Castellanos","PHI","OF",4.35113632197768
"60","Brandon Nimmo","NYM","OF",4.33258674978166
"61","Ryan Mountcastle","BAL","1B",4.21492821922766
"62","Masataka Yoshida","BOS","OF",4.13217772564623
"63","Tyler O'Neill","STL","OF",4.13041412791538
"64","Randy Arozarena","TBR","OF",4.01073057210152
"65","J.T. Realmuto","PHI","C",3.99603932679419
"66","Seiya Suzuki","CHC","OF",3.94535102654027
"67","Anthony Rizzo","NYY","1B",3.90233797126347
"68","Jorge Polanco","MIN","2B",3.88037280726406
"69","J.D. Martinez","LAD","DH",3.81242650670279
"70","Mitch Haniger","SFG","OF",3.72718751161743
"71","Oneil Cruz","PIT","SS",3.60404019996468
"72","Yandy Díaz","TBR","3B",3.56526135646776
"73","Willson Contreras","STL","C",3.4928651877577
"74","Hunter Renfroe","LAA","OF",3.46821233271305
"75","Alex Verdugo","BOS","OF",3.40600481269594
"76","Matt Chapman","TOR","3B",3.39499587484789
"77","Josh Naylor","CLE","1B",3.32987201639862
"78","Andrew Vaughn","CHW","OF",3.28670455149514
"79","Gleyber Torres","NYY","2B",3.25166092070732
"80","Alejandro Kirk","TOR","C",3.11135494634863
"81","Jazz Chisholm Jr.","MIA","2B",3.09217320271881
"82","Ketel Marte","ARI","2B",3.09064269780403
"83","Tim Anderson","CHW","SS",3.06669312136851
"84","Alec Bohm","PHI","3B",3.05090379089821
"85","Gunnar Henderson","BAL","3B",2.86338542624683
"86","Luis Arraez","MIA","2B",2.79138053250115
"87","Ian Happ","CHC","OF",2.7869790283652
"88","Andrés Giménez","CLE","2B",2.75992782519664
"89","Brandon Lowe","TBR","2B",2.75680991676513
"90","Brendan Rodgers","COL","2B",2.72377584573724
"91","Adley Rutschman","BAL","C",2.68780711838621
"92","Jeff McNeil","NYM","2B",2.68399235790314
"93","Christian Yelich","MIL","OF",2.64081017100921
"94","Ryan McMahon","COL","3B",2.60982833424834
"95","Bryce Harper","PHI","DH",2.59469878007141
"96","Jake Cronenworth","SDP","2B",2.58493155490638
"97","Joey Meneses","WSN","OF",2.45551831753118
"98","Sean Murphy","ATL","C",2.43803554575973
"99","Jose Miranda","MIN","3B",2.42617595088741
"100","Steven Kwan","CLE","OF",2.33879664749684
"101","Adolis García","TEX","OF",2.33031109369671
"102","Cedric Mullins","BAL","OF",2.28720606354834
"103","Starling Marte","NYM","OF",2.23943902523209
"104","Eugenio Suárez","SEA","3B",2.19768442323159
"105","Daulton Varsho","TOR","C",2.19010906836205
"106","Amed Rosario","CLE","SS",1.99563530306416
"107","Lourdes Gurriel Jr.","ARI","OF",1.98749853837027
"108","Randal Grichuk","COL","OF",1.94480916492984
"109","Oscar Gonzalez","CLE","OF",1.85798663904101
"110","Jesse Winker","MIL","OF",1.80160649249875
"111","Corbin Carroll","ARI","OF",1.79527859037198
"112","Joc Pederson","SFG","OF",1.61476813384267
"113","Jonathan India","CIN","2B",1.53040319591457
"114","Justin Turner","BOS","3B",1.47226022533626
"115","Jeremy Peña","HOU","SS",1.1877477586583
"116","Lars Nootbaar","STL","OF",1.15822724099668
"117","Anthony Rendon","LAA","3B",1.15077809208655
"118","Vaughn Grissom","ATL","2B",0.890152430780492
"119","William Contreras","MIL","C",0.866563250512755
"120","Javier Báez","DET","SS",0.864854765524489
"121","MJ Melendez","KCR","C",0.841241498799074
"122","Tommy Edman","STL","SS",0.82374984358166
"123","Luis Urías","MIL","SS",0.784776069328578
"124","Andrew Benintendi","CHW","OF",0.774090469607554
"125","Austin Hays","BAL","OF",0.66291961105771
"126","Tyler Stephenson","CIN","C",0.563031158684838
"127","Charlie Blackmon","COL","OF",0.542999703485309
"128","Nico Hoerner","CHC","SS",0.520495392522408
"129","Jake McCarthy","ARI","OF",0.386273775263842
"130","Ezequiel Tovar","COL","SS",0.327578106207023
"131","Wil Myers","CIN","OF",0.251961600927648
"132","Michael Conforto","SFG","OF",0.221363551156913
"133","Triston Casas","BOS","1B",0.153755420905086
"134","Brandon Drury","LAA","2B",0.121840219178899
"135","Thairo Estrada","SFG","SS",0.0191903408881834
"136","Jean Segura","MIA","2B",-0.0853521501466947
"137","Riley Greene","DET","OF",-0.112561301553075
"138","Mike Yastrzemski","SFG","OF",-0.441426810411159
"139","Yoán Moncada","CHW","3B",-0.488178113386055
"140","Jorge Soler","MIA","OF",-0.623019295068416
"141","Danny Jansen","TOR","C",-0.625143038132583
"142","Gavin Lux","LAD","2B",-0.646411583135484
"143","Ke'Bryan Hayes","PIT","3B",-0.655725789112865
"144","Garrett Cooper","MIA","1B",-0.735728435545039
"145","Michael Brantley","HOU","OF",-0.789440727613136
"146","Wilmer Flores","SFG","2B",-0.795553486482492
"147","Dylan Carlson","STL","OF",-0.815301959311412
"148","Luis García","WSN","SS",-0.86743094167576
"149","Seth Brown","OAK","OF",-0.929789478885911
"150","Bryan De La Cruz","MIA","OF",-1.05715651465626
"151","Ramón Laureano","OAK","OF",-1.11098810641003
"152","DJ LeMahieu","NYY","2B",-1.11388730749081
"153","Austin Meadows","DET","OF",-1.12106641371565
"154","Joey Votto","CIN","1B",-1.25781637970956
"155","Andrew McCutchen","PIT","OF",-1.29502835704151
"156","Jeimer Candelario","WSN","3B",-1.31926918506145
"157","Mark Canha","NYM","OF",-1.39337301625159
"158","Isaac Paredes","TBR","2B",-1.45009715531641
"159","Trey Mancini","CHC","OF",-1.4645176624333
"160","Enrique Hernández","BOS","OF",-1.46859039579515
"161","Harold Ramírez","TBR","OF",-1.53317895534827
"162","Harrison Bader","NYY","OF",-1.55318291619999
"163","Josh Jung","TEX","3B",-1.57527584854182
"164","Marcell Ozuna","ATL","OF",-1.59511976766094
"165","Miguel Vargas","LAD","1B",-1.66621655966287
"166","Tyrone Taylor","MIL","OF",-1.66989614268238
"167","Brendan Donovan","STL","2B",-1.67948541962648
"168","Cal Raleigh","SEA","C",-1.67968290882365
"169","Chris Taylor","LAD","2B",-1.73078998378239
"170","Jared Walsh","LAA","1B",-1.74663631564131
"171","Alex Kirilloff","MIN","OF",-1.76001925215894
"172","Max Kepler","MIN","OF",-1.77936051373767
"173","Avisaíl García","MIA","OF",-1.82857047205716
"174","Kerry Carpenter","DET","OF",-1.83729626823888
"175","Spencer Torkelson","DET","1B",-1.84340293161636
"176","Brandon Crawford","SFG","SS",-2.0326410213493
"177","Jake Fraley","CIN","OF",-2.05536379597222
"178","Whit Merrifield","TOR","2B",-2.09868510350219
"179","Trent Grisham","SDP","OF",-2.1326632302375
"180","Keibert Ruiz","WSN","C",-2.15592854343053
"181","Carlos Santana","PIT","1B",-2.1671442497715
"182","Eduardo Escobar","NYM","3B",-2.18322959474553
"183","Eric Hosmer","CHC","1B",-2.22017977851454
"184","Bryson Stott","PHI","SS",-2.26792677028538
"185","Travis d'Arnaud","ATL","C",-2.27058026371737
"186","Ji-Man Choi","PIT","1B",-2.27502819061547
"187","Gio Urshela","LAA","3B",-2.28780154149533
"188","Lane Thomas","WSN","OF",-2.33733213366245
"189","J.D. Davis","SFG","3B",-2.37757469678321
"190","Manuel Margot","TBR","OF",-2.42716557784289
"191","Kolten Wong","SEA","2B",-2.46766967784407
"192","Ha-Seong Kim","SDP","SS",-2.47596186970147
"193","Jonathan Schoop","DET","2B",-2.70350368357901
"194","Spencer Steer","CIN","3B",-2.72676309661462
"195","Cody Bellinger","CHC","OF",-2.78873567951515
"196","Josh Rojas","ARI","2B",-2.8960298306604
"197","AJ Pollock","SEA","OF",-2.90420254365099
"198","Ramón Urías","BAL","2B",-2.9152842659106
"199","Juan Yepez","STL","OF",-2.92465850030416
"200","Christopher Morel","CHC","2B",-2.95203353713431
"201","J.P. Crawford","SEA","SS",-2.9921944453888
"202","Josh Donaldson","NYY","3B",-2.99310801560193
"203","David Peralta","","OF",-2.999395187161
"204","Joey Gallo","MIN","OF",-3.01924461668558
"205","Brandon Belt","TOR","1B",-3.19323350389766
"206","Yonathan Daza","COL","OF",-3.19651085596671
"207","TJ Friedl","CIN","OF",-3.3889580831253
"208","Evan Longoria","ARI","3B",-3.40780389731431
"209","Jesús Aguilar","OAK","1B",-3.433462429384
"210","CJ Abrams","WSN","SS",-3.51549360066048
"211","Adam Duvall","BOS","OF",-3.52399485217706
"212","Nick Gordon","MIN","2B",-3.60109996494682
"213","Dominic Smith","WSN","1B",-3.62570108799063
"214","Luke Voit","","1B",-3.65593528230886
"215","Chas McCormick","HOU","OF",-3.71954747446459
"216","Edward Olivares","KCR","OF",-3.72824575865177
"217","Aledmys Díaz","OAK","2B",-3.72982055770024
"218","Luis Rengifo","LAA","2B",-3.76471826454711
"219","Trayce Thompson","LAD","OF",-3.97586905304464
"220","Nelson Cruz","SDP","DH",-4.14846437777621
"221","Matt Carpenter","SDP","DH",-4.16743197785033
"222","Joey Wendle","MIA","SS",-4.24674058938074
"223","Rodolfo Castro","PIT","2B",-4.25385126753687
"224","Shea Langeliers","OAK","DH",-4.25487355749491
"225","Jurickson Profar","","OF",-4.26178953522475
"226","Gabriel Moreno","ARI","C",-4.27606122265945
"227","Oscar Colas","CHW","OF",-4.29210712390872
"228","Michael Massey","KCR","2B",-4.29782553478216
"229","Elehuris Montero","COL","3B",-4.37748274363778
"230","Nolan Gorman","STL","2B",-4.43419013080752
"231","Corey Dickerson","WSN","OF",-4.48430969258862
"232","Kyle Stowers","BAL","OF",-4.57460103437581
"233","Mitch Garver","TEX","DH",-4.59990008218643
"234","José Iglesias","","SS",-4.6143174687683
"235","Brandon Marsh","PHI","OF",-4.62377302653811
"236","Santiago Espinal","TOR","2B",-4.62460742854629
"237","Christian Arroyo","BOS","2B",-4.64085446354374
"238","Gavin Sheets","CHW","OF",-4.67798077062299
"239","Adam Frazier","BAL","2B",-4.71764267483282
"240","Tony Kemp","OAK","2B",-4.72180009687784
"241","Daniel Vogelbach","NYM","DH",-4.73762364183275
"242","Drew Waters","KCR","OF",-4.73948094751017
"243","Elias Díaz","COL","C",-4.76822558137065
"244","LaMonte Wade Jr.","SFG","OF",-4.80990019441803
"245","Oswaldo Cabrera","NYY","OF",-4.86834838977147
"246","Elvis Andrus","","SS",-4.88010509143103
"247","James Outman","LAD","OF",-4.89020390054621
"248","Nolan Jones","COL","OF",-4.92171140705413
"249","Jordan Walker","STL","3B",-5.02721554526736
"250","Yuli Gurriel","","1B",-5.03445704872513
"251","Jack Suwinski","PIT","OF",-5.07214606875206
"252","Jonah Heim","TEX","C",-5.07823190798545
"253","Hunter Dozier","KCR","3B",-5.17907421340893
"254","Jonathan Aranda","TBR","2B",-5.19332142084421
"255","Jose Siri","TBR","OF",-5.25543573310789
"256","Garrett Mitchell","MIL","OF",-5.26381995551195
"257","Brian Anderson","MIL","3B",-5.27197922063138
"258","Emmanuel Rivera","ARI","3B",-5.35426543179429
"259","Logan O'Hoppe","LAA","C",-5.35822150002647
"260","Kyle Lewis","ARI","DH",-5.59214879807325
"261","Josh Harrison","PHI","2B",-5.63566823310347
"262","Yasmani Grandal","CHW","C",-5.65175765422836
"263","Matt Vierling","DET","OF",-5.67780789135729
"264","Leody Taveras","TEX","OF",-5.74985722555338
"265","Patrick Wisdom","CHC","3B",-5.7640646319801
"266","Miguel Rojas","LAD","SS",-5.78087585823558
"267","Eddie Rosario","ATL","OF",-5.80459519535112
"268","Kevin Newman","CIN","SS",-5.8302286818472
"269","Christian Vázquez","MIN","C",-5.84717974495751
"270","Nick Senzel","CIN","OF",-5.85613384274469
"271","Franmil Reyes","","DH",-5.8782886946861
"272","Tommy Pham","NYM","OF",-5.94452205989946
"273","Eric Haase","DET","C",-5.99525224921135
"274","David Villar","SFG","3B",-6.0470403293054
"275","Esteury Ruiz","OAK","OF",-6.29949401635857
"276","Joey Bart","SFG","C",-6.45707682115755
"277","Jarred Kelenic","SEA","OF",-6.48118946037713
"278","Myles Straw","CLE","OF",-6.56467883550059
"279","Kyle Isbel","KCR","OF",-6.6742924050028
"280","Kevin Kiermaier","TOR","OF",-6.73989870986651
"281","Gary Sanchez","","C",-6.7557028729629
"282","Josh H. Smith","TEX","3B",-6.83102433720803
"283","Robbie Grossman","","OF",-6.83344499995662
"284","Jace Peterson","OAK","3B",-6.94228573720559
"285","Michael A. Taylor","MIN","OF",-6.99121901894747
"286","Mike Zunino","CLE","C",-7.05991775616948
"287","Akil Baddoo","DET","OF",-7.15651754763659
"288","Brice Turang","MIL","SS",-7.25886853905516
"289","Carson Kelly","ARI","C",-7.26099287910384
"290","Aaron Hicks","NYY","OF",-7.34741635207698
"291","Brad Miller","TEX","3B",-7.42350173467009
"292","Jose Trevino","NYY","C",-7.60348711438388
"293","Victor Robles","WSN","OF",-7.70652037500688
"294","Adalberto Mondesi","BOS","SS",-7.84212511574324
"295","Nick Ahmed","ARI","SS",-8.19524447751432
"296","Jorge Mateo","BAL","SS",-8.26810017528763
